index,hora,clave,empleado_clave,grupo,salon,dia
359,N3,120,105394,006,4109,1
360,N3,120,105394,006,4109,3
361,N3,120,105394,006,4109,5
362,N2,416,3813,001,7111,1
363,N2,416,3813,001,7111,3
364,N2,416,3813,001,7111,5
365,N4,620,104656,016,LMH1,1
366,N4,620,104656,016,LMH1,3
367,N4,620,104656,016,LMH1,5
368,N5,754,96543,001,1301,1
369,N5,754,96543,001,1301,3
370,N5,754,96543,001,1301,5
371,N4,P12,93880,003,SAB3,6
372,V1,105,11158,007,4107,2
373,N2,308,97325,006,2301,1
374,N2,308,97325,006,2301,3
375,N2,308,97325,006,2301,5
376,N4,729,2371,009,7203,1
377,N4,729,2371,009,7203,3
378,N4,729,2371,009,7203,5
379,V5,930,19378,025,ss1,6
380,N1,081,91710,030,9102,4
381,N4,106,95837,017,4103,2
382,M2,414,7501,001,1302,1
383,M2,414,7501,001,1302,3
384,M2,414,7501,001,1302,5
385,N6,506,86183,007,2104,1
386,N6,506,86183,007,2104,3
387,N6,506,86183,007,2104,5
388,V2,512,2341,001,2106,1
389,V2,512,2341,001,2106,3
390,V2,512,2341,001,2106,5
391,N4,004,97686,035,6302,2
392,N5,005,6689,029,9302,1
393,N5,005,6689,029,9302,3
394,N5,005,6689,029,9302,5
395,N1,158,16541,009,4206,4
396,N4,301,105528,024,7101,1
397,N4,301,105528,024,7101,3
398,N4,301,105528,024,7101,5
399,N1,404,85692,038,1203,1
400,N1,404,85692,038,1203,3
401,N1,404,85692,038,1203,5
402,N2,501,18801,018,1304,1
403,N2,501,18801,018,1304,3
404,N2,501,18801,018,1304,5
405,N6,504,93244,016,1303,1
406,N6,504,93244,016,1303,3
407,N6,504,93244,016,1303,5
408,N3,620,101276,015,5111,1
409,N3,620,101276,015,5111,3
410,N3,620,101276,015,5111,5
411,M2,234,85015,001,SALB,1
412,M2,234,85015,001,SALB,3
413,M2,234,85015,001,SALB,5
414,M1,235,12870,001,CIS4,1
415,M1,235,12870,001,CIS4,3
416,M1,235,12870,001,CIS4,5
417,M3,281,82757,001,7222,1
418,M3,281,82757,001,7222,3
419,M3,281,82757,001,7222,5
420,M1,282,85015,001,7204,2
421,M3,217,92850,003,VIDE,1
422,M3,217,92850,003,VIDE,3
423,M3,217,92850,003,VIDE,5
424,M2,235,12870,006,CIS4,1
425,M2,235,12870,006,CIS4,3
426,M2,235,12870,006,CIS4,5
427,M4,238,83205,001,7204,1
428,M4,238,83205,001,7204,3
429,M4,238,83205,001,7204,5
430,M1,244,12870,005,CIS4,2
431,M6,275,83205,001,7204,1
432,M6,275,83205,001,7204,3
433,M6,275,83205,001,7204,5
434,M1,276,18309,001,SMO1,1
435,M1,276,18309,001,SMO1,3
436,M1,276,18309,001,SMO1,5
437,V1,278,95821,001,7215,1
438,V1,278,95821,001,7215,3
439,V1,278,95821,001,7215,5
440,V5,100,11158,055,4109,1
441,V5,100,11158,055,4109,3
442,V5,100,11158,055,4109,5
443,N1,402,102333,018,2102,2
444,N4,405,15727,020,7111,2
445,V4,500,93964,023,9103,2
446,N2,502,100554,039,2103,1
447,N2,502,100554,039,2103,3
448,N2,502,100554,039,2103,5
449,N6,603,93818,025,1302,1
450,N6,603,93818,025,1302,3
451,N6,603,93818,025,1302,5
452,V4,800,13266,042,4212,4
453,M5,106,86180,009,1103,1
454,M5,106,86180,009,1103,3
455,M5,106,86180,009,1103,5
456,M6,503,4526,005,5302,1
457,M6,503,4526,005,5302,3
458,M6,503,4526,005,5302,5
459,M1,512,2284,003,2301,1
460,M1,512,2284,003,2301,3
461,M1,512,2284,003,2301,5
462,N5,006,91710,029,9102,1
463,N5,006,91710,029,9102,3
464,N5,006,91710,029,9102,5
465,N6,020,6689,032,6305,1
466,N6,020,6689,032,6305,3
467,N6,020,6689,032,6305,5
468,N4,081,96470,035,6305,2
469,N4,218,18309,003,CIS1,1
470,N4,218,18309,003,CIS1,3
471,N4,218,18309,003,CIS1,5
472,N3,231,10673,007,CIS2,1
473,N3,231,10673,007,CIS2,3
474,N3,231,10673,007,CIS2,5
475,N1,269,96701,004,7206,2
476,N2,283,92939,002,ELEC2,1
477,N2,283,92939,002,ELEC2,3
478,N2,283,92939,002,ELEC2,5
479,N1,840,95168,013,SALB,4
480,N6,201,92753,001,ELEC2,1
481,N6,201,92753,001,ELEC2,3
482,N6,201,92753,001,ELEC2,5
483,V2,332,97878,001,LME-2,1
484,V2,332,97878,001,LME-2,3
485,V2,332,97878,001,LME-2,5
486,N4,729,84456,010,7202,2
487,V3,237,84394,007,7223,1
488,V3,237,84394,007,7223,3
489,V3,237,84394,007,7223,5
490,V2,275,83205,003,7204,1
491,V2,275,83205,003,7204,3
492,V2,275,83205,003,7204,5
493,M4,276,98027,003,7215,1
494,M4,276,98027,003,7215,3
495,M4,276,98027,003,7215,5
496,M4,278,95821,007,7215,4
497,V1,282,85015,004,SMO,1
498,V1,282,85015,004,SMO,3
499,V1,282,85015,004,SMO,5
500,M3,406,92148,009,9201,1
501,M3,406,92148,009,9201,3
502,M3,406,92148,009,9201,5
503,N1,729,2371,002,7205,1
504,N1,729,2371,002,7205,3
505,N1,729,2371,002,7205,5
506,N3,001,83883,042,3302,2
507,N3,001,83883,042,3302,4
508,N3,001,83883,042,3302,5
509,N2,002,fi0363,044,3302,2
510,N2,002,fi0363,044,3302,4
511,N2,002,fi0363,044,3302,5
512,N6,600,96966,046,3302,2
513,N6,600,96966,046,3302,4
514,N6,600,96966,046,3302,5
515,N4,601,82702,043,3302,2
516,N4,601,82702,043,3302,4
517,N4,601,82702,043,3302,5
518,N5,605,96896,045,3302,2
519,N5,605,96896,045,3302,4
520,N5,605,96896,045,3302,5
521,N1,607,7168,039,3302,2
522,N1,607,7168,039,3302,4
523,N1,607,7168,039,3302,5
524,M4,616,60457,021,6201,5
525,M4,064,86180,007,1103,2
526,N4,140,19101,004,2201,4
527,N6,173,96969,007,4202,1
528,N6,173,96969,007,4202,3
529,N6,173,96969,007,4202,5
530,V6,809,93249,005,2300,1
531,V6,809,93249,005,2300,3
532,V6,809,93249,005,2300,5
533,N5,819,85112,009,4105,1
534,N5,819,85112,009,4105,3
535,N5,819,85112,009,4105,5
536,N1,821,93249,001,INFB,1
537,N1,821,93249,001,INFB,3
538,N1,821,93249,001,INFB,5
539,M1,831,4270,004,4202,1
540,M1,831,4270,004,4202,3
541,M1,831,4270,004,4202,5
542,N1,122,97559,005,9302,4
543,N2,138,95827,011,9304,1
544,N2,138,95827,011,9304,3
545,N2,138,95827,011,9304,5
546,N1,507,85018,001,lref,2
547,N4,620,106781,023,LMH1,2
548,N3,701,96970,012,5105,1
549,N3,701,96970,012,5105,3
550,N3,701,96970,012,5105,5
551,V4,536,106779,001,H205,5
552,N2,538,85016,004,H203,1
553,N2,556,101297,002,H203,4
554,V4,571,98613,001,H201,4
555,N4,573,19297,002,H301,3
556,N2,614,97692,001,hplm1,2
557,M1,138,93989,002,4101,6
558,N1,155,97176,009,7222,2
559,V4,411,104105,002,7117,2
560,N4,412,94865,005,2303,4
561,N1,772,fi9030,029,5555,6
562,N4,496,18926,003,1105,4
563,N3,767,86183,005,2106,1
564,N3,767,86183,005,2106,3
565,N3,767,86183,005,2106,5
566,N1,328,16119,005,7103,2
567,M4,501,18801,005,2302,1
568,M4,501,18801,005,2302,3
569,M4,501,18801,005,2302,5
570,N5,107,16702,022,4109,1
571,N5,107,16702,022,4109,3
572,N5,107,16702,022,4109,5
573,N2,150,91701,032,4107,1
574,N2,150,91701,032,4107,3
